Country,ISO_Code,Level,GDLCODE,Region,"Life expectancy","GNI per capita in thousands of US$ (2011 PPP)","Expected years schooling","Mean years schooling","Population size in millions"
"Afghanistan","AFG","National","AFGt","Total",64.49,1.746,10.1,3.93,37.2
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",66.22,2.165,12.7,6.55,7.12
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",64.89,1.318,12.3,2.44,0.90
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",64.01,1.299,9.74,4.38,3.01
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",63.42,2.065,11.3,4.03,6.97
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",63.10,1.506,9.17,3.15,5.33
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",64.33,1.695,6.29,2.56,4.81
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",66.78,1.601,10.5,2.91,4.00
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",63.92,1.587,9.20,2.81,5.03
"Albania","ALB","National","ALBt","Total",78.46,12.30,15.2,10.1,2.87
"Albania","ALB","Subnat","ALBr201"," Berat",77.27,11.85,14.9,9.45,0.13
"Albania","ALB","Subnat","ALBr202"," Diber",78.88,12.05,13.1,8.64,0.13
"Albania","ALB","Subnat","ALBr203"," Durres",78.52,13.95,15.3,10.0,0.28
"Albania","ALB","Subnat","ALBr204"," Elbasan",78.50,11.90,15.8,8.87,0.28
"Albania","ALB","Subnat","ALBr205"," Fier",78.82,10.22,14.1,9.55,0.29
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",76.67,12.90,14.8,10.2,0.07
"Albania","ALB","Subnat","ALBr207"," Korce",76.63,12.70,15.2,9.58,0.24
"Albania","ALB","Subnat","ALBr208"," Kukes",79.29,12.70,11.1,9.65,0.08
"Albania","ALB","Subnat","ALBr209"," Lezhe",78.50,11.48,14.0,9.27,0.13
"Albania","ALB","Subnat","ALBr210"," Shkoder",78.21,13.56,14.5,9.30,0.20
"Albania","ALB","Subnat","ALBr211"," Tirana",78.82,12.41,16.3,11.3,0.87
"Albania","ALB","Subnat","ALBr212"," Vlore",79.13,12.54,15.9,10.1,0.18
"Algeria","DZA","National","DZAt","Total",76.69,13.64,14.7,7.99,42.2
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",75.00,12.29,14.0,6.93,2.93
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",77.24,13.95,14.6,7.84,5.95
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",76.26,13.06,14.5,6.83,2.40
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",77.79,13.66,15.1,8.25,14.3
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",77.75,13.57,15.4,8.60,5.99
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",75.92,13.95,14.0,7.72,6.45
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",74.75,14.08,14.5,8.00,4.23
"Andorra","AND","National","ANDt","Total",81.79,48.64,13.3,10.2,0.08
"Angola","AGO","National","AGOt","Total",60.78,5.555,11.8,5.13,30.8
"Angola","AGO","Subnat","AGOr218"," Bengo",67.33,4.324,10.4,4.37,0.37
"Angola","AGO","Subnat","AGOr209"," Benguela",54.52,4.562,11.7,4.35,2.56
"Angola","AGO","Subnat","AGOr211"," Bie",60.74,2.746,10.3,2.78,1.49
"Angola","AGO","Subnat","AGOr201"," Cabinda",65.42,8.748,13.6,7.36,0.68
"Angola","AGO","Subnat","AGOr216"," Cunene",61.69,3.010,10.9,2.94,1.19
"Angola","AGO","Subnat","AGOr210"," Huambo",59.07,3.896,11.1,3.86,2.16
"Angola","AGO","Subnat","AGOr215"," Huila",56.90,3.550,11.2,3.62,2.73
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",61.66,3.324,9.61,2.88,0.55
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",59.84,3.840,11.5,3.86,0.43
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",55.38,2.933,8.27,2.65,2.31
"Angola","AGO","Subnat","AGOr204"," Luanda",64.76,13.94,13.4,7.67,10.3
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",63.05,3.549,9.17,3.53,0.85
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",65.10,4.154,12.3,3.85,0.53
"Angola","AGO","Subnat","AGOr207"," Malange",63.64,4.362,11.6,3.72,1.24
"Angola","AGO","Subnat","AGOr212"," Moxico",70.72,3.081,9.84,3.22,0.71
"Angola","AGO","Subnat","AGOr214"," Namibe",59.47,5.119,12.8,4.91,0.39
"Angola","AGO","Subnat","AGOr203"," Uige",61.60,2.993,11.8,3.79,1.70
"Angola","AGO","Subnat","AGOr202"," Zaire",63.98,5.433,11.6,6.34,0.62
"Antigua and Barbuda","ATG","National","ATGt","Total",76.89,22.20,12.5,9.26,0.10
"Argentina","ARG","National","ARGt","Total",76.52,17.61,17.6,10.6,44.5
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",76.52,17.69,17.6,10.6,1.39
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",76.52,13.75,17.6,9.62,1.71
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",76.52,20.41,17.3,10.7,2.26
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",76.52,20.47,19.8,13.0,3.45
"Argentina","ARG","Subnat","ARGr104","Cordoba",76.52,18.48,17.8,10.6,3.56
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",76.52,16.98,16.8,9.75,3.66
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",76.52,15.10,18.2,10.2,2.07
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",76.52,19.97,17.8,10.5,2.71
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",76.52,16.80,17.1,10.3,17.7
"Argentina","ARG","Subnat","ARGr110","Santa Fe",76.52,18.60,18.6,10.9,3.42
