Country,ISO_Code,Level,GDLCODE,Region,"2018"
"Afghanistan","AFG","National","AFGt","Total",51.0
"Afghanistan","AFG","Urb/rur","AFGtu","Urban",65.5
"Afghanistan","AFG","Urb/rur","AFGtr","Rural",46.0
"Afghanistan","AFG","Poverty","AFGp1","Poor",37.9
"Afghanistan","AFG","Poverty","AFGp0","Nonpoor",65.3
"Afghanistan","AFG","Wealth quartiles","AFGw41","Lowest 25%",42.0
"Afghanistan","AFG","Wealth quartiles","AFGw42","Second 25%",43.6
"Afghanistan","AFG","Wealth quartiles","AFGw43","Third 25%",49.7
"Afghanistan","AFG","Wealth quartiles","AFGw44","Highest 25%",68.7
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",58.0
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",41.8
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",41.3
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",56.5
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",46.2
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",50.0
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",48.2
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",47.9
"Albania","ALB","National","ALBt","Total",86.1
"Albania","ALB","Urb/rur","ALBtu","Urban",87.6
"Albania","ALB","Urb/rur","ALBtr","Rural",83.7
"Albania","ALB","Poverty","ALBp1","Poor",41.2
"Albania","ALB","Poverty","ALBp0","Nonpoor",86.3
"Albania","ALB","Wealth quartiles","ALBw41","Lowest 25%",79.7
"Albania","ALB","Wealth quartiles","ALBw42","Second 25%",85.9
"Albania","ALB","Wealth quartiles","ALBw43","Third 25%",87.9
"Albania","ALB","Wealth quartiles","ALBw44","Highest 25%",90.9
"Albania","ALB","Subnat","ALBr201"," Berat",85.0
"Albania","ALB","Subnat","ALBr202"," Diber",85.5
"Albania","ALB","Subnat","ALBr203"," Durres",89.7
"Albania","ALB","Subnat","ALBr204"," Elbasan",85.2
"Albania","ALB","Subnat","ALBr205"," Fier",80.8
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",87.5
"Albania","ALB","Subnat","ALBr207"," Korce",87.0
"Albania","ALB","Subnat","ALBr208"," Kukes",87.0
"Albania","ALB","Subnat","ALBr209"," Lezhe",84.1
"Albania","ALB","Subnat","ALBr210"," Shkoder",88.9
"Albania","ALB","Subnat","ALBr211"," Tirana",86.4
"Albania","ALB","Subnat","ALBr212"," Vlore",86.7
"Algeria","DZA","National","DZAt","Total",85.4
"Algeria","DZA","Urb/rur","DZAtu","Urban",87.5
"Algeria","DZA","Urb/rur","DZAtr","Rural",81.7
"Algeria","DZA","Poverty","DZAp1","Poor",39.9
"Algeria","DZA","Poverty","DZAp0","Nonpoor",85.7
"Algeria","DZA","Wealth quartiles","DZAw41","Lowest 25%",76.3
"Algeria","DZA","Wealth quartiles","DZAw42","Second 25%",85.4
